id,categorie,latitude,longitude,location,phone,price,rating,review_count,url,image_url
angelines-louisiana-kitchen-berkeley,american,37.8681812435389,-122.267604768276,"2261 Shattuck Ave, Berkeley, CA 94704",(510) 548-6900,$$,4.0,3634,https://s3-media3.fl.yelpcdn.com/bphoto/7JmU5f54Ga5mGEdmLwKt2A/o.jpg,https://www.yelp.com/biz/angelines-louisiana-kitchen-berkeley?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
cheese-board-pizza-berkeley,american,37.8798356,-122.2694873,"1512 Shattuck Ave, Berkeley, CA 94709",(510) 549-3183,$,4.5,4637,https://s3-media4.fl.yelpcdn.com/bphoto/UPF6ZVXgyeR63oycPnAh_A/o.jpg,https://www.yelp.com/biz/cheese-board-pizza-berkeley?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
kiraku-berkeley,american,37.863683,-122.258976,"2566B Telegraph Ave, Berkeley, CA 94704",(510) 848-2758,$$,4.5,785,https://s3-media4.fl.yelpcdn.com/bphoto/ACwDqcNdOIm6OIJ5wQnQiQ/o.jpg,https://www.yelp.com/biz/kiraku-berkeley?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
eureka-berkeley-3,american,37.8702369341339,-122.268460057676,"2068 Center St, Berkeley, CA 94704",(510) 809-8282,$$,4.0,1306,https://s3-media3.fl.yelpcdn.com/bphoto/bgNxOJQ71AxNdh4mhDF4WQ/o.jpg,https://www.yelp.com/biz/eureka-berkeley-3?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
koja-kitchen-berkeley-2,american,37.8670846,-122.2587409,"2395 Telegraph Ave, Berkeley, CA 94704",(510) 962-5652,$,4.0,1294,https://s3-media1.fl.yelpcdn.com/bphoto/y-3Eho7xtwbjn9rW_anMtA/o.jpg,https://www.yelp.com/biz/koja-kitchen-berkeley-2?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
jupiter-berkeley,american,37.86983,-122.26749,"2181 Shattuck Ave, Berkeley, CA 94704",(510) 843-8277,$$,4.0,2780,https://s3-media1.fl.yelpcdn.com/bphoto/B8rRuDSzKbPnW3jBOwXdZg/o.jpg,https://www.yelp.com/biz/jupiter-berkeley?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
les-arceaux-berkeley-2,american,37.87419,-122.26836,"1849 Shattuck Ave, Berkeley, CA 94709",(510) 859-3127,$$,3.5,16,https://s3-media2.fl.yelpcdn.com/bphoto/WfXZpIO5KAju9QEnTKE1Iw/o.jpg,https://www.yelp.com/biz/les-arceaux-berkeley-2?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
imm-thai-street-food-berkeley,american,37.8719712048769,-122.269112840295,"2068 University Ave, Berkeley, CA 94704",(510) 898-1123,$,4.0,689,https://s3-media1.fl.yelpcdn.com/bphoto/DrhXpabuwPMDEne-_bF_sg/o.jpg,https://www.yelp.com/biz/imm-thai-street-food-berkeley?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
la-note-berkeley-5,american,37.8662142064674,-122.267341609173,"2377 Shattuck Ave, Berkeley, CA 94704",(510) 843-1525,$$,4.0,3022,https://s3-media3.fl.yelpcdn.com/bphoto/JALkbjMGELKBg8l3dIHqQg/o.jpg,https://www.yelp.com/biz/la-note-berkeley-5?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
gypsys-trattoria-italiano-berkeley,american,37.868068,-122.258124,"2519 Durant Ave, Ste A, Berkeley, CA 94704",(510) 548-4860,$,4.0,1348,https://s3-media4.fl.yelpcdn.com/bphoto/fF1Ey-oqhZyk3im6kg3eWA/o.jpg,https://www.yelp.com/biz/gypsys-trattoria-italiano-berkeley?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
toss-noodle-bar-berkeley,american,37.8681334,-122.2679719,"2272 Shattuck Ave, Berkeley, CA 94704",(510) 845-8677,$,4.0,734,https://s3-media4.fl.yelpcdn.com/bphoto/pHGWgwSFFVUAnOE1CJcvjw/o.jpg,https://www.yelp.com/biz/toss-noodle-bar-berkeley?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
ippuku-berkeley-2,american,37.87027,-122.26702,"2130 Center St, Ste 101, Berkeley, CA 94704",(510) 665-1969,$$$,4.0,1086,https://s3-media2.fl.yelpcdn.com/bphoto/JJbIfTd7lwGafcqf2PtJWQ/o.jpg,https://www.yelp.com/biz/ippuku-berkeley-2?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
spoon-korean-bistro-berkeley,american,37.8514925390482,-122.289982438087,"933 Ashby Ave, Berkeley, CA 94710",(510) 704-9555,$$,4.0,639,https://s3-media3.fl.yelpcdn.com/bphoto/FQjPrRQbkATcpciXMadKrw/o.jpg,https://www.yelp.com/biz/spoon-korean-bistro-berkeley?adjust_creative=e6rMLyS04dP-qxhHEUbYVQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e6rMLyS04dP-qxhHEUbYVQ
